Date,Open,High,Low,Close,Volume,Adj Close
2013-05-31,93.97,94.11,92.90,92.92,6809400,92.92
2013-05-30,94.00,94.36,93.69,94.17,5462100,94.17
2013-05-29,94.04,94.26,93.55,93.98,10958100,93.98
2013-05-28,95.03,95.03,94.31,94.36,3486700,94.36
2013-05-24,94.75,94.79,94.67,94.71,3420400,94.71
2013-05-23,95.00,95.02,94.69,94.89,3294400,94.89
2013-05-22,95.72,95.88,95.10,95.15,5243800,95.15
2013-05-21,95.56,95.78,95.54,95.74,4666500,95.74
2013-05-20,95.46,95.64,95.36,95.56,2086200,95.56
2013-05-17,95.60,95.63,95.34,95.46,4313300,95.46
2013-05-16,95.29,95.64,95.18,95.46,6036800,95.46
2013-05-15,95.22,95.34,95.09,95.23,3179800,95.23
2013-05-14,95.20,95.46,95.11,95.22,4473900,95.22
2013-05-13,95.41,95.50,95.11,95.12,2710000,95.12
2013-05-10,96.05,96.05,95.46,95.51,4654400,95.51
2013-05-09,96.20,96.29,96.00,96.01,1644900,96.01
2013-05-08,96.02,96.30,96.02,96.29,3801200,96.29
2013-05-07,96.12,96.15,95.92,95.95,2590900,95.95
2013-05-06,95.92,96.06,95.88,96.02,1458700,96.02
2013-05-03,95.97,96.13,95.86,95.96,2407400,95.96
2013-05-02,95.50,95.83,95.37,95.81,3368200,95.81
2013-05-01,95.34,95.56,95.18,95.20,4812400,95.20
2013-04-30,95.63,95.85,95.55,95.85,2953100,95.38
2013-04-29,95.39,95.59,95.38,95.55,1785300,95.08
2013-04-26,95.46,95.48,95.33,95.37,2679000,94.90
2013-04-25,95.22,95.52,95.14,95.47,2453100,95.00
2013-04-24,95.09,95.26,95.01,95.21,3872600,94.75
2013-04-23,94.77,95.05,94.77,95.04,2217400,94.58
2013-04-22,94.69,94.89,94.53,94.67,3641900,94.21
2013-04-19,94.60,94.66,94.43,94.45,2474800,93.99
2013-04-18,94.61,94.67,94.46,94.50,2476900,94.04
2013-04-17,94.61,94.67,94.40,94.65,5778600,94.19
2013-04-16,94.41,94.81,94.32,94.80,4138300,94.34
2013-04-15,94.75,94.75,94.13,94.15,3910600,93.69
2013-04-12,94.64,94.81,94.55,94.75,2040900,94.29
2013-04-11,94.75,94.79,94.64,94.72,2676200,94.26
2013-04-10,94.35,94.76,94.35,94.72,2932600,94.26
2013-04-09,94.20,94.42,94.12,94.42,2985400,93.96
2013-04-08,94.07,94.15,93.95,94.12,2346800,93.66
2013-04-05,93.77,94.02,93.68,94.02,2243800,93.56
2013-04-04,93.92,94.15,93.87,93.93,3040600,93.47
2013-04-03,93.99,94.05,93.78,93.96,2773100,93.50
2013-04-02,93.95,94.18,93.92,93.96,2528700,93.50
2013-04-01,93.83,94.09,93.65,94.03,3823000,93.57
2013-03-28,94.24,94.38,94.16,94.35,1959100,93.40
2013-03-27,94.19,94.29,94.17,94.18,2195100,93.24
2013-03-26,94.39,94.40,94.25,94.34,1169400,93.39
2013-03-25,94.30,94.44,94.15,94.17,2131700,93.23
2013-03-22,94.38,94.46,94.25,94.31,2201500,93.36
2013-03-21,94.37,94.56,94.22,94.38,3532400,93.43
2013-03-20,94.33,94.60,94.32,94.55,2553200,93.60
2013-03-19,94.45,94.53,94.21,94.24,3742800,93.29
2013-03-18,94.00,94.46,94.00,94.40,3000600,93.45
2013-03-15,94.25,94.40,94.20,94.38,2024300,93.43
2013-03-14,94.17,94.39,94.07,94.39,2954100,93.44
2013-03-13,94.10,94.17,93.95,94.03,1431200,93.09
2013-03-12,93.99,94.10,93.96,94.01,1526200,93.07
2013-03-11,94.08,94.15,94.00,94.05,2782800,93.11
2013-03-08,94.17,94.19,93.92,94.11,2464100,93.17
2013-03-07,93.95,94.00,93.90,94.00,2124900,93.06
2013-03-06,94.03,94.06,93.84,93.86,2118000,92.92
2013-03-05,93.79,94.02,93.79,93.92,3733400,92.98
2013-03-04,93.65,93.80,93.61,93.73,2222500,92.79
2013-03-01,93.49,93.99,93.48,93.72,4833200,92.78
2013-02-28,94.07,94.13,93.94,94.04,3822000,92.60
2013-02-27,93.85,94.15,93.75,94.08,3681600,92.64
2013-02-26,93.64,93.92,93.47,93.92,4075600,92.48
2013-02-25,93.78,93.93,93.45,93.46,5259300,92.02
2013-02-22,93.63,93.75,93.51,93.75,3367000,92.31
2013-02-21,93.42,93.59,93.30,93.52,7185300,92.08
2013-02-20,93.58,93.72,93.40,93.42,3830300,91.99
2013-02-19,93.50,93.59,93.41,93.51,3074300,92.07
2013-02-15,93.46,93.66,93.26,93.42,2483000,91.99
2013-02-14,93.25,93.55,93.25,93.41,2731800,91.98
2013-02-13,93.42,93.48,93.17,93.45,3672200,92.01
2013-02-12,92.92,93.36,92.91,93.31,3490600,91.88
2013-02-11,92.89,93.08,92.86,92.99,3146100,91.56
2013-02-08,92.92,93.10,92.91,93.00,3220400,91.57
2013-02-07,93.11,93.13,92.81,92.98,4071400,91.55
2013-02-06,93.16,93.29,93.06,93.16,2850500,91.73
2013-02-05,93.24,93.40,93.20,93.30,2590900,91.87
2013-02-04,93.29,93.40,93.01,93.09,3878000,91.66
2013-02-01,93.54,93.76,93.46,93.48,5713000,92.04
2013-01-31,93.93,94.11,93.62,93.67,5963700,91.74
2013-01-30,94.45,94.51,93.89,93.96,6595600,92.02
2013-01-29,94.71,94.75,94.54,94.64,1514300,92.69
2013-01-28,94.77,94.84,94.69,94.80,2331000,92.85
2013-01-25,94.97,94.97,94.78,94.85,2525100,92.90
2013-01-24,94.77,94.93,94.69,94.88,3175400,92.93
2013-01-23,94.71,94.79,94.65,94.67,2227900,92.72
2013-01-22,94.65,94.87,94.54,94.78,2295200,92.83
2013-01-18,94.54,94.72,94.48,94.72,2836800,92.77
2013-01-17,94.42,94.61,94.31,94.59,6058900,92.64
2013-01-16,94.28,94.40,94.17,94.25,3272700,92.31
2013-01-15,94.22,94.42,94.17,94.41,2136000,92.46
2013-01-14,94.45,94.47,94.22,94.39,2182400,92.45
2013-01-11,94.30,94.52,94.21,94.52,1982600,92.57
2013-01-10,94.33,94.38,94.20,94.35,1684300,92.41
2013-01-09,94.24,94.24,94.01,94.19,2183900,92.25
2013-01-08,94.10,94.12,93.93,94.01,2179100,92.07
2013-01-07,94.02,94.09,93.83,94.08,4137300,92.14
2013-01-04,93.98,94.08,93.83,94.00,2968000,92.06
2013-01-03,94.08,94.29,93.88,93.94,3950700,92.00
2013-01-02,94.07,94.23,93.80,94.23,3975200,92.29
2012-12-31,92.97,93.40,92.93,93.35,2918500,91.43
2012-12-28,93.01,93.24,92.86,92.95,2426100,91.04
2012-12-27,93.05,93.20,92.89,93.20,2332600,91.28
2012-12-26,93.00,93.14,92.79,93.01,2257200,91.09
2012-12-24,93.43,93.55,93.19,93.29,1221400,90.87
2012-12-21,93.44,93.68,93.44,93.63,3187900,91.20
2012-12-20,93.60,93.91,93.59,93.90,3191200,91.47
2012-12-19,93.74,93.74,93.57,93.57,2566400,91.15
2012-12-18,93.77,93.81,93.58,93.67,3409800,91.24
2012-12-17,93.32,93.70,93.32,93.62,2195600,91.19
2012-12-14,93.36,93.50,93.26,93.26,2741400,90.84
2012-12-13,93.60,93.80,93.30,93.33,4898700,90.91
2012-12-12,93.55,93.80,93.44,93.66,3305600,91.23
2012-12-11,93.53,93.71,93.35,93.38,3206300,90.96
2012-12-10,93.50,93.50,93.17,93.29,2140700,90.87
2012-12-07,93.45,93.50,93.16,93.21,2294400,90.80
2012-12-06,93.15,93.39,93.15,93.35,2261500,90.93
2012-12-05,93.27,93.29,92.85,93.18,4580900,90.77
2012-12-04,92.99,93.17,92.85,93.03,3121100,90.62
2012-12-03,92.86,93.03,92.66,93.03,5444400,90.62
2012-11-30,92.90,93.15,92.87,93.05,3276200,90.16
2012-11-29,92.73,92.95,92.60,92.91,3870500,90.03
2012-11-28,92.41,92.74,92.24,92.50,6528000,89.63
2012-11-27,92.26,92.57,92.26,92.48,4194100,89.61
2012-11-26,92.31,92.39,92.01,92.39,2160700,89.52
2012-11-23,92.25,92.44,92.11,92.37,1041100,89.50
2012-11-21,92.00,92.23,91.97,92.06,2984700,89.20
2012-11-20,92.08,92.18,91.84,92.09,4010400,89.23
2012-11-19,91.23,92.12,91.21,92.08,9498500,89.22
2012-11-16,90.76,91.00,90.53,90.93,4730200,88.11
2012-11-15,90.55,90.92,90.09,90.67,6989700,87.86
2012-11-14,91.46,91.50,90.64,90.71,5017500,87.90
2012-11-13,91.28,91.38,91.07,91.21,4347400,88.38
2012-11-12,91.49,91.57,91.32,91.42,2066000,88.58
2012-11-09,91.28,91.68,91.25,91.39,3953900,88.55
2012-11-08,91.96,92.16,91.50,91.55,5829400,88.71
2012-11-07,92.25,92.27,91.80,91.85,3698200,89.00
2012-11-06,92.43,92.52,92.27,92.40,1409000,89.53
2012-11-05,92.40,92.59,92.11,92.26,3361700,89.40
2012-11-02,92.66,92.75,92.39,92.41,2829300,89.54
2012-11-01,92.18,92.63,92.06,92.54,2092300,89.67
2012-10-31,92.48,92.67,92.44,92.59,2914100,89.72
2012-10-26,92.73,92.79,92.28,92.48,4591800,89.61
2012-10-25,92.92,92.96,92.60,92.70,2005600,89.82
2012-10-24,92.84,92.87,92.50,92.55,4332900,89.68
2012-10-23,92.70,92.81,92.50,92.63,3916900,89.76
2012-10-22,93.00,93.19,92.92,92.98,3021700,90.10
2012-10-19,93.37,93.42,92.88,92.96,2041200,90.08
2012-10-18,93.35,93.53,93.30,93.43,1676300,90.53
2012-10-17,93.40,93.56,93.30,93.48,2971500,90.58
2012-10-16,93.06,93.33,92.94,93.27,3536300,90.38
2012-10-15,92.76,92.97,92.58,92.93,2378500,90.05
2012-10-12,92.44,92.76,92.31,92.51,3696800,89.64
2012-10-11,92.20,92.37,92.12,92.35,2811000,89.49
2012-10-10,92.15,92.21,91.80,91.85,5431800,89.00
2012-10-09,92.51,92.51,92.05,92.07,5777300,89.21
2012-10-08,92.26,92.40,92.19,92.33,1143300,89.47
2012-10-05,92.78,92.79,92.28,92.46,2513500,89.59
2012-10-04,92.23,92.57,92.18,92.51,1847200,89.64
2012-10-03,91.97,92.35,91.91,92.12,3201000,89.26
2012-10-02,91.84,91.97,91.64,91.89,3151900,89.04
2012-10-01,92.27,92.27,91.60,91.66,5386700,88.82
2012-09-28,92.66,92.67,92.29,92.30,3668200,88.97
2012-09-27,92.18,92.74,92.00,92.74,3882600,89.39
2012-09-26,92.18,92.20,91.48,91.74,6554200,88.43
2012-09-25,93.05,93.10,92.13,92.20,5726800,88.87
2012-09-24,93.02,93.12,92.94,93.03,1867200,89.67
2012-09-21,93.47,93.47,93.03,93.15,3121700,89.79
2012-09-20,93.63,93.64,93.27,93.28,2122200,89.91
