Date,Open,High,Low,Close,Volume,Adj Close
2013-04-12,69.85,69.99,69.41,69.94,32783700,69.94
2013-04-11,69.85,70.15,69.77,69.99,37233600,69.99
2013-04-10,68.92,70.17,68.88,70.02,55271300,70.02
2013-04-09,68.40,68.96,68.09,68.68,30931400,68.68
2013-04-08,67.89,68.24,67.69,68.22,17891600,68.22
2013-04-05,67.35,67.96,67.19,67.86,55610800,67.86
2013-04-04,68.38,68.60,68.06,68.43,32287400,68.43
2013-04-03,69.08,69.18,68.24,68.41,35131200,68.41
2013-04-02,68.83,69.27,68.77,69.04,29431900,69.04
2013-04-01,69.02,69.09,68.31,68.50,28112800,68.50
2013-03-28,68.80,69.06,68.64,68.97,23662800,68.97
2013-03-27,68.24,68.85,68.14,68.80,22520600,68.80
2013-03-26,68.60,68.73,68.45,68.71,19725200,68.71
2013-03-25,68.81,68.96,68.01,68.34,24899600,68.34
2013-03-22,68.21,68.64,68.13,68.59,28837200,68.59
2013-03-21,68.08,68.25,67.77,67.93,30006200,67.93
2013-03-20,68.71,68.86,68.39,68.71,28012100,68.71
2013-03-19,68.57,68.70,67.62,68.23,33125100,68.23
2013-03-18,67.88,68.64,67.73,68.36,36163000,68.36
2013-03-15,68.75,68.79,68.34,68.51,30752600,68.51
2013-03-14,68.87,69.01,68.71,68.86,31530800,68.70
2013-03-13,68.81,68.89,68.39,68.63,34297300,68.47
2013-03-12,68.77,68.93,68.39,68.72,27575400,68.56
2013-03-11,68.68,68.99,68.47,68.97,23187900,68.81
2013-03-08,68.92,69.02,68.50,68.77,26159900,68.61
2013-03-07,68.59,68.80,68.45,68.69,21775900,68.53
2013-03-06,68.89,68.91,68.42,68.51,29071100,68.35
2013-03-05,68.08,68.77,68.08,68.68,35581900,68.52
2013-03-04,67.16,67.69,67.07,67.68,19380500,67.52
2013-03-01,66.87,67.50,66.54,67.38,31617200,67.22
2013-02-28,67.25,67.74,67.09,67.10,28557300,66.95
2013-02-27,66.56,67.65,66.47,67.24,36339500,67.08
2013-02-26,66.40,66.68,65.96,66.56,42088800,66.41
2013-02-25,67.57,67.81,66.25,66.31,40927600,66.16
2013-02-22,66.85,67.15,66.59,67.14,21968000,66.98
2013-02-21,66.94,67.01,66.23,66.47,45855600,66.32
2013-02-20,68.22,68.25,67.18,67.19,38200300,67.03
2013-02-19,67.88,68.26,67.86,68.24,23436500,68.08
2013-02-15,67.94,68.11,67.56,67.75,25333600,67.59
2013-02-14,67.66,68.05,67.62,67.95,24478800,67.79
2013-02-13,67.93,68.23,67.77,67.97,23494700,67.81
2013-02-12,67.92,68.05,67.66,67.73,22057900,67.57
2013-02-11,68.03,68.06,67.78,68.01,17650400,67.85
2013-02-08,67.64,68.13,67.63,67.99,39837200,67.83
2013-02-07,67.32,67.37,66.56,67.30,46017900,67.14
2013-02-06,67.24,67.55,67.04,67.24,43593200,67.08
2013-02-05,66.77,67.67,66.61,67.46,35120300,67.30
2013-02-04,67.27,67.46,66.46,66.48,48483700,66.33
2013-02-01,67.34,67.78,67.07,67.66,53120800,67.50
2013-01-31,66.99,67.35,66.81,66.87,34870500,66.72
2013-01-30,67.28,67.48,66.87,67.02,34445000,66.87
2013-01-29,67.07,67.31,66.63,67.16,35534000,67.00
2013-01-28,67.01,67.38,66.93,67.15,32926100,66.99
2013-01-25,66.87,67.19,66.74,67.00,39240100,66.85
2013-01-24,66.66,67.28,66.56,66.66,42596300,66.51
2013-01-23,67.56,67.79,67.46,67.59,31975700,67.43
2013-01-22,67.14,67.23,66.73,67.18,32123100,67.02
2013-01-18,67.02,67.14,66.77,67.07,31992000,66.92
2013-01-17,67.17,67.48,67.06,67.22,32024200,67.06
2013-01-16,66.72,67.13,66.60,66.90,33822300,66.75
2013-01-15,66.63,66.73,66.33,66.63,31675300,66.48
2013-01-14,66.92,67.15,66.67,66.96,36768500,66.81
2013-01-11,67.14,67.29,67.00,67.26,21158600,67.10
2013-01-10,67.23,67.27,66.55,67.17,37528000,67.01
2013-01-09,66.62,66.95,66.55,66.77,25600300,66.62
2013-01-08,66.64,66.82,66.17,66.52,28734900,66.37
2013-01-07,66.46,66.76,66.25,66.65,26766200,66.50
2013-01-04,66.88,66.88,66.47,66.63,33972500,66.48
2013-01-03,67.20,67.34,66.65,66.85,47366500,66.70
2013-01-02,66.73,67.23,66.48,67.20,70695900,67.04
2012-12-31,63.71,65.25,63.58,65.13,57544000,64.98
2012-12-28,63.91,64.43,63.75,63.78,33082100,63.63
2012-12-27,64.56,64.64,63.60,64.40,52933200,64.25
2012-12-26,65.12,65.18,64.29,64.50,21751300,64.35
2012-12-24,65.06,65.14,64.92,65.07,11418300,64.92
2012-12-21,64.88,65.28,64.60,65.20,51152900,65.05
2012-12-20,66.38,66.41,65.93,66.26,40754300,65.74
2012-12-19,66.74,66.76,66.22,66.26,34832500,65.74
2012-12-18,65.88,66.65,65.70,66.55,55596000,66.03
2012-12-17,64.75,65.57,64.66,65.55,42302900,65.04
2012-12-14,64.87,65.08,64.47,64.69,39630300,64.18
2012-12-13,65.70,66.16,65.03,65.31,45467700,64.80
2012-12-12,66.32,66.32,65.65,65.83,45917700,65.31
2012-12-11,65.57,66.34,65.52,65.97,40750800,65.45
2012-12-10,64.75,65.46,64.75,65.12,33219600,64.61
2012-12-07,65.64,65.71,64.71,64.93,30089400,64.42
2012-12-06,64.70,65.48,64.53,65.32,47512300,64.81
2012-12-05,65.53,65.54,64.55,64.90,54076200,64.39
2012-12-04,65.70,65.77,65.20,65.63,49584500,65.12
2012-12-03,66.31,66.37,65.64,65.67,28240000,65.16
2012-11-30,65.92,65.97,65.61,65.80,33497400,65.28
2012-11-29,65.87,66.14,65.58,65.91,41136100,65.39
2012-11-28,64.65,65.57,64.25,65.52,37295800,65.01
2012-11-27,65.17,65.40,64.85,64.96,25828600,64.45
2012-11-26,64.74,65.22,64.54,65.18,26430900,64.67
2012-11-23,64.29,64.92,64.25,64.90,16462900,64.39
2012-11-21,63.87,64.02,63.60,63.93,19611700,63.43
2012-11-20,63.76,63.89,63.19,63.80,52012700,63.30
2012-11-19,62.98,63.83,62.96,63.78,55306400,63.28
2012-11-16,62.08,62.48,61.31,62.30,70873100,61.81
2012-11-15,62.28,62.49,61.80,62.03,55124200,61.54
2012-11-14,63.29,63.36,62.14,62.24,82655300,61.75
2012-11-13,62.93,63.58,62.78,62.98,43288300,62.49
2012-11-12,63.80,63.87,63.25,63.42,32663700,62.92
2012-11-09,63.19,64.11,63.16,63.43,51542100,62.93
2012-11-08,64.35,64.50,63.16,63.16,58585800,62.67
2012-11-07,65.02,65.10,63.90,64.17,70737800,63.67
2012-11-06,65.71,66.17,65.46,65.72,29608400,65.21
2012-11-05,65.18,65.73,65.04,65.60,28094700,65.09
2012-11-02,66.17,66.21,65.11,65.17,44069400,64.66
2012-11-01,65.36,66.00,65.17,65.87,26945000,65.35
2012-10-31,65.27,65.39,64.73,64.95,38524500,64.44
2012-10-26,65.16,65.62,64.65,65.35,54213100,64.84
2012-10-25,65.61,65.72,64.97,65.16,52688700,64.65
2012-10-24,65.76,65.87,65.06,65.16,39872400,64.65
2012-10-23,65.48,65.95,65.19,65.39,52591200,64.88
2012-10-22,65.65,66.19,65.50,66.02,38621500,65.50
2012-10-19,67.21,67.27,65.60,65.68,75362600,65.17
2012-10-18,67.86,68.08,67.04,67.29,61707600,66.76
2012-10-17,67.77,68.30,67.68,68.08,33439400,67.55
2012-10-16,67.27,68.20,67.25,68.12,33960600,67.59
2012-10-15,66.93,67.26,66.53,67.17,22220100,66.64
2012-10-12,66.70,67.06,66.55,66.68,24891200,66.16
2012-10-11,67.42,67.47,66.67,66.71,30469400,66.19
2012-10-10,67.24,67.43,66.80,66.92,45134300,66.40
2012-10-09,68.17,68.34,67.10,67.26,67974000,66.73
2012-10-08,68.58,68.72,68.19,68.35,30911500,67.81
2012-10-05,69.70,69.80,68.80,68.98,25207900,68.44
2012-10-04,69.22,69.54,69.00,69.35,26128600,68.81
2012-10-03,68.86,69.24,68.59,69.11,38236000,68.57
2012-10-02,68.77,68.98,68.13,68.67,33254300,68.13
2012-10-01,68.90,69.33,68.25,68.47,37715300,67.93
2012-09-28,68.91,69.12,68.51,68.57,30112600,68.03
2012-09-27,68.37,69.30,68.25,69.14,25339500,68.60
2012-09-26,68.67,68.71,67.85,68.20,32770400,67.67
2012-09-25,69.92,70.08,68.73,68.76,41299600,68.22
2012-09-24,69.57,69.86,69.42,69.74,32341600,69.19
2012-09-21,70.48,70.54,70.08,70.15,23678500,69.60
2012-09-20,70.06,70.40,69.87,70.33,42520200,69.58
2012-09-19,70.26,70.58,70.06,70.40,36484600,69.65
2012-09-18,70.03,70.30,70.02,70.27,27169800,69.52
2012-09-17,70.22,70.24,69.96,70.21,31798400,69.46
2012-09-14,69.81,70.43,69.79,70.18,38880300,69.43
2012-09-13,68.69,69.86,68.62,69.56,45417800,68.82
2012-09-12,68.68,68.81,68.21,68.63,42203400,67.90
2012-09-11,68.55,68.82,68.32,68.43,29810100,67.70
2012-09-10,69.25,69.40,68.49,68.54,25490000,67.81
2012-09-07,69.37,69.55,69.23,69.43,32958600,68.69
2012-09-06,68.44,69.55,68.42,69.53,43100000,68.79
2012-09-05,68.06,68.35,67.84,68.02,26129300,67.30
2012-09-04,68.03,68.35,67.42,68.09,32017200,67.36
2012-08-31,68.20,68.45,67.47,68.16,42128000,67.43
2012-08-30,68.10,68.13,67.60,67.71,24425400,66.99
2012-08-29,68.40,68.57,68.11,68.40,26672400,67.67
2012-08-28,68.34,68.59,68.11,68.40,27337900,67.67
2012-08-27,68.58,68.67,68.25,68.40,20671400,67.67
2012-08-24,67.71,68.45,67.60,68.29,38384800,67.56
2012-08-23,68.12,68.34,67.69,67.87,28800400,67.15
2012-08-22,68.00,68.56,67.81,68.43,44555700,67.70
2012-08-21,68.60,68.88,67.88,68.15,41391000,67.42
2012-08-20,68.27,68.43,68.00,68.42,26924000,67.69
2012-08-17,68.17,68.33,68.01,68.32,22584800,67.59
2012-08-16,67.47,68.17,67.39,68.02,35699900,67.30
2012-08-15,67.00,67.32,66.99,67.22,29100400,66.50
2012-08-14,67.27,67.41,66.86,67.05,24218700,66.34
2012-08-13,66.84,67.03,66.50,67.02,19890300,66.31
2012-08-10,66.58,66.88,66.41,66.86,20312000,66.15
2012-08-09,66.61,66.91,66.49,66.82,20726200,66.11
2012-08-08,66.48,66.76,66.37,66.62,20723500,65.91
2012-08-07,66.38,66.92,66.28,66.65,28223300,65.94
2012-08-06,65.94,66.39,65.80,66.10,23523600,65.40
2012-08-03,65.42,65.88,65.19,65.60,42117400,64.90
2012-08-02,64.12,65.02,63.91,64.38,40534900,63.69
2012-08-01,65.26,65.28,64.35,64.61,30920200,63.92
2012-07-31,64.92,65.18,64.74,64.80,34588300,64.11
2012-07-30,65.03,65.31,64.60,64.82,37821300,64.13
2012-07-27,63.83,64.99,63.64,64.87,42621000,64.18
2012-07-26,63.44,63.73,62.97,63.37,41928200,62.69
2012-07-25,62.47,62.95,62.15,62.54,46264400,61.87
2012-07-24,63.57,63.66,62.55,62.96,57269700,62.29
2012-07-23,62.99,63.68,62.51,63.46,48657800,62.78
2012-07-20,65.08,65.10,64.21,64.24,40573100,63.56
2012-07-19,64.84,65.31,64.72,65.10,53017800,64.41
2012-07-18,63.41,64.58,63.39,64.39,44460300,63.70
2012-07-17,63.60,63.74,62.63,63.53,42467800,62.85
2012-07-16,63.24,63.52,62.95,63.20,27621400,62.53
2012-07-13,62.60,63.52,62.56,63.38,32357200,62.70
2012-07-12,62.52,62.69,61.86,62.43,57680400,61.76
2012-07-11,63.29,63.46,62.50,63.02,43432000,62.35
2012-07-10,64.35,64.51,63.12,63.37,47365700,62.69
2012-07-09,64.05,64.26,63.68,64.00,35628300,63.32
2012-07-06,64.63,64.69,63.65,64.12,40684100,63.44
2012-07-05,64.83,65.25,64.48,64.93,37016200,64.24
2012-07-03,64.39,64.89,64.29,64.89,15895100,64.20
2012-07-02,64.25,64.38,63.87,64.35,33425600,63.66
2012-06-29,63.40,64.16,63.21,64.16,44761300,63.48
2012-06-28,62.43,62.47,61.54,62.20,49768300,61.54
2012-06-27,62.76,63.18,62.69,62.90,35705800,62.23
2012-06-26,62.34,62.70,62.06,62.52,30611100,61.85
2012-06-25,62.83,62.85,61.95,62.13,33136400,61.47
2012-06-22,62.90,63.43,62.73,63.35,29504200,62.67
2012-06-21,64.24,64.31,62.62,62.69,42492700,62.02
2012-06-20,64.38,64.57,63.81,64.29,51389700,63.60
2012-06-19,63.90,64.51,63.85,64.24,36476500,63.56
2012-06-18,62.73,63.74,62.63,63.58,32191200,62.90
2012-06-15,62.39,63.08,62.36,62.99,41536100,62.32
2012-06-14,62.12,62.61,61.80,62.36,65170600,61.55
2012-06-13,62.38,62.85,61.92,62.13,50830000,61.33
2012-06-12,62.10,62.59,61.68,62.56,48802600,61.75
2012-06-11,63.35,63.38,61.77,61.81,51008900,61.01
2012-06-08,62.17,62.95,61.96,62.87,39730800,62.06
2012-06-07,63.18,63.18,62.22,62.27,38414800,61.47
2012-06-06,61.58,62.57,61.52,62.52,58781800,61.71
2012-06-05,60.66,61.24,60.63,61.12,47916900,60.33
2012-06-04,60.58,60.96,60.04,60.87,74119500,60.08
2012-06-01,60.94,61.32,60.39,60.41,71430800,59.63
2012-05-31,62.25,62.41,61.59,62.06,55260100,61.26
2012-05-30,62.29,62.55,61.68,62.33,56431800,61.52
2012-05-29,62.65,63.15,62.28,62.86,44216700,62.05
2012-05-25,62.21,62.32,61.89,62.07,32078900,61.27
2012-05-24,62.65,62.71,61.69,62.15,83131200,61.35
2012-05-23,61.91,62.71,61.37,62.56,56951100,61.75
2012-05-22,62.69,62.95,61.99,62.44,62954800,61.63
2012-05-21,60.93,62.57,60.85,62.51,61473000,61.70
2012-05-18,61.80,61.96,60.76,60.81,79496500,60.02
2012-05-17,62.96,63.06,61.60,61.61,62253900,60.81
2012-05-16,63.59,63.78,62.81,62.94,52825900,62.13
2012-05-15,63.75,64.27,63.26,63.37,66895600,62.55
2012-05-14,63.63,64.08,63.48,63.58,46360000,62.76
2012-05-11,63.97,64.86,63.91,64.18,47099900,63.35
2012-05-10,64.61,64.63,63.95,64.19,49448900,63.36
2012-05-09,63.77,64.68,63.51,64.32,85715300,63.49
2012-05-08,64.35,64.74,63.48,64.52,72659700,63.69
2012-05-07,64.31,65.07,64.29,64.76,50267800,63.92
2012-05-04,65.74,66.35,64.69,64.70,107554000,63.86
2012-05-03,67.10,67.15,66.18,66.35,51297600,65.49
2012-05-02,66.54,67.11,66.38,67.06,38299300,66.19
2012-05-01,66.69,67.63,66.59,66.87,37643800,66.01
2012-04-30,67.04,67.17,66.71,66.76,37787700,65.90
2012-04-27,67.12,67.45,66.77,67.24,46003800,66.37
2012-04-26,66.44,66.99,66.35,66.84,41799500,65.98
2012-04-25,66.07,66.49,65.97,66.45,57526900,65.59
2012-04-24,64.96,65.23,64.45,64.73,49661500,63.89
2012-04-23,65.06,65.18,64.49,65.08,70501000,64.24
2012-04-20,66.22,66.51,65.58,65.68,59906900,64.83
2012-04-19,66.37,67.17,65.62,65.86,81110900,65.01
2012-04-18,66.59,67.00,66.41,66.61,42536100,65.75
2012-04-17,65.73,66.99,65.63,66.78,47362400,65.92
2012-04-16,66.52,66.56,65.24,65.45,57588000,64.60
2012-04-13,66.98,67.20,66.16,66.19,55227500,65.33
2012-04-12,66.58,67.28,66.48,67.21,57407400,66.34
2012-04-11,66.71,66.89,66.28,66.45,62950000,65.59
2012-04-10,67.18,67.44,65.92,66.13,69254200,65.28
2012-04-09,66.88,67.48,66.76,67.21,36908200,66.34
2012-04-05,67.18,67.78,67.13,67.72,42979900,66.84
2012-04-04,67.72,67.76,66.91,67.30,54088100,66.43
2012-04-03,68.31,68.55,67.85,68.23,45539900,67.35
2012-04-02,67.48,68.34,67.36,68.25,40031600,67.37
2012-03-30,67.98,68.02,67.28,67.55,39480900,66.68
2012-03-29,67.60,67.93,67.20,67.68,53975300,66.81
2012-03-28,68.25,68.51,67.54,67.94,44421900,67.06
2012-03-27,68.16,68.49,68.13,68.21,37278200,67.33
2012-03-26,67.39,68.11,67.33,68.11,40855300,67.23
2012-03-23,67.06,67.08,66.56,66.94,45541700,66.07
2012-03-22,66.72,67.14,66.68,66.98,56953900,66.11
2012-03-21,67.12,67.49,67.03,67.12,39648100,66.25
2012-03-20,66.64,67.18,66.46,67.11,47290600,66.24
2012-03-19,66.63,67.15,66.45,66.99,60966200,66.12
2012-03-16,66.67,66.67,66.36,66.52,53023100,65.66
2012-03-15,66.69,66.82,66.35,66.68,65531200,65.71
2012-03-14,66.33,66.74,66.08,66.49,59926900,65.52
2012-03-13,65.40,66.26,65.27,66.26,61509300,65.29
2012-03-12,65.00,65.11,64.72,65.05,32687300,64.10
2012-03-09,64.86,65.14,64.82,65.02,43117200,64.07
2012-03-08,64.44,64.94,64.30,64.75,43711100,63.80
2012-03-07,63.87,64.21,63.77,64.06,42741800,63.12
2012-03-06,63.57,63.72,63.23,63.57,54638600,62.64
2012-03-05,64.83,64.91,63.99,64.20,45788800,63.26
